Action,Position,Hand,Pot,P1-Action,P1-Bet,P2-Action,P2-Bet,P3-Action,P3-Bet,P4-Action,P4-Bet,P5-Action,P5-Bet
r,4,1145,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,7085,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
f,0,5017,375.0,bb,100.0,f,0.0,f,0.0,r,225.0,f,0.0
f,1,6029,375.0,f,0.0,f,0.0,f,0.0,r,225.0,f,0.0
r,2,397,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,3037,350.0,sb,50.0,bb,100.0,r,200.0,hold,0.0,hold,0.0
f,4,5457,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,hold,0.0
f,5,2289,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,f,0.0
f,0,6645,350.0,bb,100.0,r,200.0,f,0.0,f,0.0,f,0.0
c,1,2905,350.0,f,0.0,r,200.0,f,0.0,f,0.0,f,0.0
f,2,7349,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,5061,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3213,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,2113,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
r,0,1321,350.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,200.0
f,1,6029,1250.0,r,700.0,f,0.0,f,0.0,f,0.0,r,200.0
f,2,6513,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,837,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,6865,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,hold,0.0
f,5,4093,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,f,0.0
f,0,5193,375.0,bb,100.0,f,0.0,r,225.0,f,0.0,f,0.0
c,1,1101,375.0,f,0.0,f,0.0,r,225.0,f,0.0,f,0.0
f,2,3081,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,4445,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3873,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,3301,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
r,0,1453,372.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,222.0
f,1,4973,1322.0,r,728.0,f,0.0,f,0.0,f,0.0,r,222.0
f,2,7393,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,3961,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3917,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
c,0,485,400.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,250.0
f,1,6293,650.0,c,0.0,f,0.0,f,0.0,f,0.0,r,250.0
r,2,705,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,1629,375.0,sb,50.0,bb,100.0,r,225.0,hold,0.0,hold,0.0
r,4,749,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,hold,0.0
f,5,1937,1075.0,sb,50.0,bb,100.0,r,225.0,f,0.0,r,475.0
f,0,6469,1075.0,bb,100.0,r,225.0,f,0.0,r,475.0,f,0.0
f,1,4005,1075.0,f,0.0,r,225.0,f,0.0,r,475.0,f,0.0
r,2,1145,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,837,350.0,sb,50.0,bb,100.0,r,200.0,hold,0.0,hold,0.0
f,4,2025,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,hold,0.0
c,5,1233,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,f,0.0
f,0,6953,550.0,bb,100.0,r,200.0,f,0.0,f,0.0,c,0.0
r,1,441,550.0,f,0.0,r,200.0,f,0.0,f,0.0,c,0.0
f,2,6073,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,617,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,6689,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,hold,0.0
r,5,1321,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,f,0.0
f,0,4269,1075.0,bb,100.0,f,0.0,r,225.0,f,0.0,r,475.0
f,1,5809,1075.0,f,0.0,f,0.0,r,225.0,f,0.0,r,475.0
f,2,3873,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,6117,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,5105,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,5589,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
c,0,4445,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
r,1,749,150.0,c,0.0,f,0.0,f,0.0,f,0.0,f,0.0
r,2,529,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,6645,375.0,sb,50.0,bb,100.0,r,225.0,hold,0.0,hold,0.0
f,4,5765,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,hold,0.0
f,5,6601,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,f,0.0
f,0,6073,375.0,bb,100.0,r,225.0,f,0.0,f,0.0,f,0.0
c,1,1541,375.0,f,0.0,r,225.0,f,0.0,f,0.0,f,0.0
f,2,2949,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,6029,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,6821,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,837,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
c,0,397,400.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,250.0
c,1,1233,650.0,c,0.0,f,0.0,f,0.0,f,0.0,r,250.0
f,2,6513,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,5105,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,6337,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,5193,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
f,0,3917,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
f,2,2245,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,1,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3301,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,hold,0.0
f,5,1585,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,f,0.0
f,0,5809,375.0,bb,100.0,f,0.0,r,225.0,f,0.0,f,0.0
f,1,5413,375.0,f,0.0,f,0.0,r,225.0,f,0.0,f,0.0
f,2,5545,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,925,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3169,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,hold,0.0
f,5,6469,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,f,0.0
f,0,4489,350.0,bb,100.0,f,0.0,r,200.0,f,0.0,f,0.0
f,1,6161,350.0,f,0.0,f,0.0,r,200.0,f,0.0,f,0.0
f,2,6029,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,7129,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,5325,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,4665,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
c,0,4929,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
c,1,4621,150.0,c,0.0,f,0.0,f,0.0,f,0.0,f,0.0
f,2,6865,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,3697,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,6469,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,6161,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
r,0,2553,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
r,1,2069,450.0,r,300.0,f,0.0,f,0.0,f,0.0,f,0.0
f,2,5765,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,3697,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,6469,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,4973,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
f,0,5369,400.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,250.0
c,1,4269,400.0,f,0.0,f,0.0,f,0.0,f,0.0,r,250.0
f,2,4005,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,1145,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3125,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,hold,0.0
f,5,7085,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,f,0.0
f,0,5413,350.0,bb,100.0,f,0.0,r,200.0,f,0.0,f,0.0
f,1,7349,350.0,f,0.0,f,0.0,r,200.0,f,0.0,f,0.0
f,2,4313,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,6689,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
r,4,1277,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,5677,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
f,0,5721,375.0,bb,100.0,f,0.0,f,0.0,r,225.0,f,0.0
f,1,5985,375.0,f,0.0,f,0.0,f,0.0,r,225.0,f,0.0
r,2,2817,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,5369,375.0,sb,50.0,bb,100.0,r,225.0,hold,0.0,hold,0.0
f,4,7129,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,hold,0.0
f,5,2113,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,f,0.0
c,0,881,375.0,bb,100.0,r,225.0,f,0.0,f,0.0,f,0.0
f,1,6513,600.0,c,0.0,r,225.0,f,0.0,f,0.0,f,0.0
f,2,2025,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,2201,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
c,4,1233,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,hold,0.0
f,5,4709,600.0,sb,50.0,bb,100.0,f,0.0,r,225.0,c,0.0
r,0,485,600.0,bb,100.0,f,0.0,r,225.0,c,0.0,f,0.0
f,1,3521,1850.0,r,1025.0,f,0.0,r,225.0,c,0.0,f,0.0
f,2,4049,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,1233,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,4533,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,hold,0.0
f,5,3169,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,f,0.0
